No,Tanggal,Hari,Bulan,Kuartal,Tahun,Supervisor_ID,Jenis_Insiden,Near_Miss,First_Aid,Medical_Treatment,LTI,Fatality,Hari_Hilang_Kerja,Property_Damage,Jumlah_Tenaga_Kerja,Jam_Kerja,Tindakan_Korektif,Status_Tindakan,Lokasi_Spesifik,Catatan,Insiden_Tercatat,TRIR,LTIR,Severity_Rate,Hari_dalam_Minggu,day_sin,day_cos,month_sin,month_cos,jam_per_pekerja,is_musim_hujan,is_cuaca_buruk,night_shift_bin,night_cuaca_buruk,Area_Kerja_Hauling Road,Area_Kerja_Office Area,Area_Kerja_Pit-A,Area_Kerja_Pit-B,Area_Kerja_Pit-C,Area_Kerja_ROM,Area_Kerja_Stockpile,Area_Kerja_Unknown,Area_Kerja_Workshop,Jenis_Pekerjaan_Blasting,Jenis_Pekerjaan_Dozing,Jenis_Pekerjaan_Drilling,Jenis_Pekerjaan_Fueling,Jenis_Pekerjaan_Grading,Jenis_Pekerjaan_Hauling,Jenis_Pekerjaan_Loading,Jenis_Pekerjaan_Maintenance,Jenis_Pekerjaan_Pengawasan,Jenis_Pekerjaan_Pumping,Jenis_Pekerjaan_Survei,Penyebab_Utama_Desain/Engineering,Penyebab_Utama_Faktor Eksternal,Penyebab_Utama_Housekeeping Buruk,Penyebab_Utama_Human Error,Penyebab_Utama_Kelelahan Pekerja,Penyebab_Utama_Komunikasi Buruk,Penyebab_Utama_Kondisi Cuaca Buruk,Penyebab_Utama_Peralatan Rusak,Penyebab_Utama_Prosedur Tidak Diikuti,Shift_Shift 2,Kondisi_Cuaca_Berkabut,Kondisi_Cuaca_Cerah,Kondisi_Cuaca_Hujan Lebat,Kondisi_Cuaca_Hujan Ringan
1,2023-06-26,Monday,6.0,Q2,2023,SPV-009,Near Miss,1,0,0,0,0,0,0,29,298.2,Revisi Prosedur,Belum Dimulai,Draina-Blok02,,0,0.0,0.0,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,10.282758620689656,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,2023-05-10,Wednesday,5.0,Q2,2023,SPV-010,First Aid,0,1,0,0,0,0,0,10,105.4,Pelatihan Ulang,Dalam Proses,Draina-Blok05,,1,9487.666034155598,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,10.540000000000001,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
3,2023-03-27,Monday,3.0,Q1,2023,SPV-011,Near Miss,1,0,0,0,0,0,0,35,393.7,Investigasi Lanjut,Selesai,ROM (R-Blok02,,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,11.248571428571429,1,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
4,2022-11-29,Tuesday,11.0,Q4,2022,SPV-020,Medical Treatment,0,0,1,0,0,0,0,22,258.0,Revisi Prosedur,Selesai,Pit-C-Blok02,,1,3875.968992248062,0.0,0.0,1.0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,11.727272727272727,1,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
5,2023-05-13,Saturday,5.0,Q2,2023,SPV-018,First Aid,0,1,0,0,0,0,0,40,459.6,Investigasi Lanjut,Selesai,Pit-B-Blok04,Menunggu spare part,1,2175.805047867711,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,11.49,0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False
6,2022-08-20,Saturday,8.0,Q3,2022,SPV-020,First Aid,0,1,0,0,0,0,0,15,176.0,Revisi Prosedur,Belum Dimulai,Pit-C-Blok01,Sudah dilaporkan ke HSE Manager,1,5681.818181818182,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,11.733333333333333,0,0,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
7,2022-12-14,Wednesday,12.0,Q4,2022,SPV-005,Environmental Spill,0,0,0,0,0,0,0,32,358.5,Perbaikan Desain,Selesai,Pit-A-Blok03,,0,0.0,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,11.203125,1,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8,2023-02-18,Saturday,2.0,Q1,2023,SPV-001,Near Miss,1,0,0,0,0,0,0,30,300.5,Briefing Safety,Dalam Proses,Office-Blok04,,0,0.0,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,10.016666666666667,1,0,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
9,2024-07-28,Sunday,7.0,Q3,2024,SPV-012,Near Miss,1,0,0,0,0,0,0,19,241.1,Briefing Safety,Selesai,Stockp-Blok01,Sudah dilaporkan ke HSE Manager,0,0.0,0.0,0.0,6.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,12.689473684210526,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10,2022-10-13,Thursday,10.0,Q4,2022,SPV-007,Medical Treatment,0,0,1,0,0,0,0,42,448.9,Briefing Safety,Selesai,ROM (R-Blok02,Investigasi selesai,1,2227.667631989307,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,10.688095238095238,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
11,2023-08-30,Wednesday,8.0,Q3,2023,SPV-005,Near Miss,1,0,0,0,0,0,0,42,457.8,Briefing Safety,Selesai,ROM (R-Blok02,Sudah dilaporkan ke HSE Manager,0,0.0,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,10.9,0,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
12,2022-08-04,Thursday,8.0,Q3,2022,SPV-014,Near Miss,1,0,0,0,0,0,0,24,297.5,Revisi Prosedur,Dalam Proses,Worksh-Blok05,,0,0.0,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,12.395833333333334,0,0,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
