No,Tanggal,Hari,Bulan,Kuartal,Tahun,Shift,Area_Kerja,Supervisor_ID,Jenis_Pekerjaan,Jenis_Insiden,Near_Miss,First_Aid,Medical_Treatment,LTI,Fatality,Hari_Hilang_Kerja,Property_Damage,Jumlah_Tenaga_Kerja,Jam_Kerja,Kondisi_Cuaca,Penyebab_Utama,Tindakan_Korektif,Status_Tindakan,Lokasi_Spesifik,Catatan
1,2023-06-26,Monday,6,Q2,2023,Shift 1 (07:00-19:00),Drainase,SPV-009,Grading,Near Miss,1,0,0,0,0,0,0,29,298.2,Cerah,Komunikasi Buruk,Revisi Prosedur,Belum Dimulai,Draina-Blok02,
2,2023-05-10,Wednesday,5,Q2,2023,Shift 2 (19:00-07:00),Drainase,SPV-010,Dozing,First Aid,0,1,0,0,0,0,0,10,105.4,Cerah,Alat Pelindung Diri Tidak Sesuai,Pelatihan Ulang,Dalam Proses,Draina-Blok05,
3,2023-03-27,Monday,3,Q1,2023,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-011,Administrasi,Near Miss,1,0,0,0,0,0,0,35,393.7,Cerah,Desain/Engineering,Investigasi Lanjut,Selesai,ROM (R-Blok02,
4,2022-11-29,Tuesday,11,Q4,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-020,Loading,Medical Treatment,0,0,1,0,0,0,0,22,258,Cerah,Human Error,Revisi Prosedur,Selesai,Pit-C-Blok02,
5,2023-05-13,Saturday,5,Q2,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-018,Survei,First Aid,0,1,0,0,0,0,0,40,459.6,Berkabut,Komunikasi Buruk,Investigasi Lanjut,Selesai,Pit-B-Blok04,Menunggu spare part
6,2022-08-20,Saturday,8,Q3,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-020,Blasting,First Aid,0,1,0,0,0,0,0,15,176,Cerah,Komunikasi Buruk,Revisi Prosedur,Belum Dimulai,Pit-C-Blok01,Sudah dilaporkan ke HSE Manager
7,2022-12-14,Wednesday,12,Q4,2022,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-005,Fueling,Environmental Spill,0,0,0,0,0,0,0,32,358.5,Berawan,Faktor Eksternal,Perbaikan Desain,Selesai,Pit-A-Blok03,
8,2023-02-18,Saturday,2,Q1,2023,Shift 2 (19:00-07:00),Office Area,SPV-001,Drilling,Near Miss,1,0,0,0,0,0,0,30,300.5,Cerah,Alat Pelindung Diri Tidak Sesuai,Briefing Safety,Dalam Proses,Office-Blok04,
9,2024-07-28,Sunday,7,Q3,2024,Shift 1 (07:00-19:00),Stockpile,SPV-012,Maintenance,Near Miss,1,0,0,0,0,0,0,19,241.1,Hujan Lebat,Komunikasi Buruk,Briefing Safety,Selesai,Stockp-Blok01,Sudah dilaporkan ke HSE Manager
10,2022-10-13,Thursday,10,Q4,2022,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-007,Survei,Medical Treatment,0,0,1,0,0,0,0,42,448.9,Hujan Lebat,Housekeeping Buruk,Briefing Safety,Selesai,ROM (R-Blok02,Investigasi selesai
11,2023-08-30,Wednesday,8,Q3,2023,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-005,Pumping,Near Miss,1,0,0,0,0,0,0,42,457.8,Cerah,Desain/Engineering,Briefing Safety,Selesai,ROM (R-Blok02,Sudah dilaporkan ke HSE Manager
12,2022-08-04,Thursday,8,Q3,2022,Shift 1 (07:00-19:00),Workshop,SPV-014,Dozing,Near Miss,1,0,0,0,0,0,0,24,297.5,Berawan,Housekeeping Buruk,Revisi Prosedur,Dalam Proses,Worksh-Blok05,
13,2024-07-31,Wednesday,7,Q3,2024,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-009,Grading,Property Damage,0,0,0,0,0,0,1,38,400.3,Hujan Lebat,Peralatan Rusak,Investigasi Lanjut,Overdue,Pit-A-Blok05,
14,2023-03-08,Wednesday,3,Q1,2023,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-015,Maintenance,Near Miss,1,0,0,0,0,0,0,12,146.2,Berawan,Prosedur Tidak Diikuti,Perbaikan Desain,Selesai,Pit-C-Blok01,Perlu tindak lanjut
15,2024-09-17,Tuesday,9,Q3,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-011,Loading,Lost Time Injury,0,0,0,1,0,11,0,38,400.3,Hujan Lebat,Desain/Engineering,Penggantian APD,Overdue,ROM (R-Blok05,Sudah dilaporkan ke HSE Manager
16,2023-04-02,Sunday,4,Q2,2023,Shift 1 (07:00-19:00),Office Area,SPV-003,Loading,Medical Treatment,0,0,1,0,0,0,0,20,226.9,Cerah,Faktor Eksternal,Briefing Safety,Selesai,Office-Blok02,Menunggu spare part
17,2022-12-29,Thursday,12,Q4,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-003,Dozing,Lost Time Injury,0,0,0,1,0,14,0,16,173.3,Hujan Ringan,Desain/Engineering,Pelatihan Ulang,Selesai,Pit-C-Blok02,
18,2024-12-26,Thursday,12,Q4,2024,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-012,Maintenance,Near Miss,1,0,0,0,0,0,0,13,165.9,Hujan Ringan,Prosedur Tidak Diikuti,Investigasi Lanjut,Belum Dimulai,Pit-A-Blok02,Investigasi selesai
